time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.6,1866.00001,6,0,0,10,0,2,0,0
3600.0,0.6,2848.0,5,0,0,10,0,4,0,1
7200.0,0.4,4097.0000199999995,5,0,1,10,0,6,0,2
10800.0,0.4,3720.0,4,0,2,10,0,3,0,4
14400.0,0.5,4075.0,4,0,5,12,1,3,0,2
18000.0,0.7,2921.0,8,0,4,12,1,0,0,0
21600.0,0.5,2670.0,2,0,1,11,0,5,0,0
25200.0,0.7,2466.0,7,0,4,12,0,0,0,0
28800.0,0.5,2952.00003,8,0,3,12,0,0,0,1
32400.0,0.4,3833.0,11,0,3,8,0,2,0,0
36000.0,0.1,5226.0,10,1,3,10,0,2,2,0
39600.0,0.4,7237.00025,8,0,9,12,2,1,3,1
43200.0,0.6,4479.00017,9,0,7,12,1,1,0,0
46800.0,0.6,4887.00006,12,0,4,12,2,1,0,0
50400.0,0.6,3432.00014,7,0,1,10,0,4,0,0
54000.0,0.1,4783.0,4,2,1,10,0,4,2,0
57600.0,0.5,5819.0,8,0,4,6,0,9,0,0
61200.0,0.6,8607.00018,12,0,9,12,0,12,0,0
64800.0,0.4,8004.0,12,0,3,4,0,10,0,5
68400.0,0.6,4575.0,10,0,0,8,0,7,0,2
72000.0,0.4,4623.0,12,0,4,12,0,3,0,3
75600.0,0.6,2043.0,11,0,1,12,0,2,0,0
79200.0,0.4,1817.0,9,0,1,6,0,2,0,0
82800.0,0.3,3749.0,7,0,1,12,0,3,1,2
86400.0,0.4,3955.999948,6,0,3,8,0,3,1,1
90000.0,0.5,5133.00006,6,0,3,12,3,4,0,3
93600.0,0.4,6252.00004,4,0,2,12,4,6,2,2
97200.0,0.7,4491.0,12,0,1,12,3,3,0,0
100800.0,0.5,5295.0,3,0,4,12,2,5,0,4
104400.0,0.5,4732.00012,5,0,3,10,0,4,0,4
108000.0,0.6,6392.0,8,0,8,12,2,5,0,1
111600.0,0.1,5086.0,5,0,4,8,0,2,4,1
115200.0,0.4,2754.0,5,0,5,12,0,1,0,0
118800.0,0.4,6539.0,9,0,7,12,0,5,2,0
122400.0,0.4,5252.99997,10,0,4,7,0,3,1,1
126000.0,0.4,6281.00025,11,0,5,12,0,1,3,1
129600.0,0.4,3688.00015,6,0,6,11,0,1,0,1
133200.0,0.6,2655.0,10,0,1,11,0,0,0,0
136800.0,0.6,2848.00016,8,0,4,12,0,0,0,0
140400.0,0.6,3189.0,6,0,1,12,0,4,0,0
144000.0,0.4,3711.00003,7,0,2,6,0,4,0,1
147600.0,0.5,5284.00004,12,0,2,7,0,7,0,1
151200.0,0.5,4093.0,11,0,4,6,0,5,0,0
154800.0,0.4,5615.0,12,2,3,10,0,3,0,4
158400.0,0.5,3090.0,12,0,3,10,0,2,0,1
162000.0,0.4,4268.0,12,0,8,6,0,2,0,1
165600.0,0.4,3306.0,8,0,2,10,0,2,0,3
169200.0,0.6,1928.0,8,0,2,12,0,1,0,0
172800.0,0.4,3250.000011,7,0,2,11,0,2,0,2
176400.0,0.6,4368.0,7,0,2,12,0,3,0,4
180000.0,0.4,4187.00006,4,0,3,12,1,4,1,1
183600.0,0.5,4367.0,4,0,2,12,1,5,0,3
187200.0,0.7,5869.0,12,0,3,12,5,3,0,1
190800.0,0.7,6751.0,12,0,7,12,3,5,0,0
194400.0,0.4,6290.0,7,0,4,12,2,4,2,2
198000.0,0.1,10028.99991,8,3,6,7,1,4,5,4
201600.0,0.4,6201.00006,9,3,7,7,1,1,0,2
205200.0,0.1,4906.0,7,1,7,8,0,1,2,0
208800.0,0.4,4459.0,6,0,9,12,0,1,1,0
212400.0,0.1,4654.00011,4,1,7,9,0,0,2,1
216000.0,0.6,4016.0001399999996,7,0,1,12,4,2,0,0
219600.0,0.4,3976.0,6,0,0,12,0,2,2,1
223200.0,0.6,4127.0001,5,0,0,12,0,3,2,1
226800.0,0.7,3934.0,11,0,2,12,0,1,1,0
230400.0,0.7,3718.0,12,0,3,12,0,2,0,0
234000.0,0.7,3150.00008,12,0,4,12,0,1,0,0
237600.0,0.8,3866.0,12,0,10,12,0,0,0,0
241200.0,0.6,5548.00016,12,0,8,12,2,4,0,0
244800.0,0.4,5262.0,12,2,4,8,0,4,0,2
248400.0,0.4,3260.0,12,0,4,8,0,2,0,1
252000.0,0.3,4915.0,10,0,5,10,0,2,3,0
255600.0,0.4,1943.0,7,0,0,12,0,1,1,0
259200.0,0.4,3851.9998920000003,7,0,0,12,4,1,2,0
262800.0,0.5,4248.000120000001,4,0,1,12,6,3,0,2
266400.0,0.9,4123.00004,12,0,2,12,4,1,0,0
270000.0,0.2,5460.0,4,1,4,12,1,1,3,3
273600.0,0.5,4827.0,6,0,5,12,1,4,0,2
277200.0,0.4,5956.00009,7,0,4,8,1,6,0,3
280800.0,0.5,2332.0,4,0,1,11,0,2,0,1
284400.0,0.6,1603.0,4,0,1,12,0,1,0,0
288000.0,0.5,4736.00009,9,0,3,12,0,2,0,3
291600.0,0.7,2726.0,10,0,2,12,0,0,0,0
295200.0,0.5,2083.0,6,0,1,11,0,1,0,0
298800.0,0.6,3571.00028,8,0,0,12,4,1,0,0
302400.0,0.1,3996.00002,8,0,1,12,0,0,3,0
306000.0,0.6,2419.0,10,0,0,11,0,0,0,0
309600.0,0.7,3392.0002400000003,12,0,1,12,0,1,0,0
313200.0,0.6,3004.0,10,0,0,12,0,2,0,0
316800.0,0.5,3819.0,9,0,4,11,0,3,0,0
320400.0,0.7,3532.00008,12,0,4,12,0,2,0,0
324000.0,0.4,3762.0,10,0,4,11,0,3,0,1
327600.0,0.6,3030.00008,12,0,4,12,0,2,0,0
331200.0,0.4,4573.0,12,1,4,9,0,2,0,3
334800.0,0.4,9167.0,12,0,6,12,0,7,4,3
338400.0,0.4,5155.0,11,0,2,11,0,5,2,1
342000.0,0.6,4248.0,12,0,2,10,0,6,0,0
345600.0,0.6,4915.000012,7,0,1,12,0,9,0,0
349200.0,0.4,3026.0,5,0,2,12,0,4,0,0
352800.0,0.4,5273.00004,5,0,2,12,2,4,2,2
356400.0,0.5,3848.0,1,0,1,12,3,3,1,3
360000.0,0.4,5050.0,3,0,2,12,2,6,1,2
363600.0,0.5,4340.00012,4,0,2,12,0,4,0,4
367200.0,0.4,5260.0,5,0,2,12,0,5,2,2
370800.0,0.6,6075.0,10,0,3,12,2,7,0,0
374400.0,0.6,5670.0,10,0,7,12,1,4,0,0
378000.0,0.4,3968.0,12,0,6,10,0,0,0,0
381600.0,0.5,3920.0,10,0,7,12,0,0,0,0
385200.0,0.5,2985.00016,8,0,3,12,0,1,0,0
388800.0,0.7,4170.000120000001,12,0,6,12,0,0,0,0
392400.0,0.6,3948.0,12,0,3,11,0,1,0,0
396000.0,0.6,4145.0002,10,0,3,12,1,2,0,0
399600.0,0.6,3404.0,12,0,0,12,0,2,0,0
403200.0,0.1,7667.00012,10,6,1,6,0,1,2,4
406800.0,0.4,5282.99999,12,1,1,10,0,2,0,5
410400.0,0.7,6895.0,12,0,11,12,0,5,0,2
414000.0,0.8,3391.00014,12,0,7,12,0,1,0,0
417600.0,0.4,4904.0,8,0,6,8,0,0,0,6
421200.0,0.4,3523.0,7,0,6,10,0,0,0,3
424800.0,0.6,2233.0,11,0,3,12,0,0,0,1
428400.0,0.7,2752.0,12,0,5,12,0,0,0,0
432000.0,0.2,6121.999712000001,4,1,2,12,2,2,5,0
435600.0,0.7,5758.99994,12,0,3,12,3,2,2,0
439200.0,0.6,3670.00004,3,0,2,11,2,3,0,3
442800.0,0.4,5559.0,4,0,1,12,1,5,2,4
446400.0,0.2,5673.0,3,0,0,12,1,5,1,7
450000.0,0.5,3863.00009,2,0,0,12,0,6,0,3
453600.0,0.4,4578.0,4,0,2,12,0,5,1,2
457200.0,0.6,2361.0,4,0,1,12,0,3,0,0
460800.0,0.6,2900.0,6,0,3,12,0,2,0,0
464400.0,0.4,5259.0,10,0,3,12,0,1,3,1
468000.0,0.5,5886.0,11,0,3,12,2,1,3,0
471600.0,0.6,6313.00036,12,0,4,12,4,2,1,0
475200.0,0.6,5584.000180000001,12,0,6,12,2,2,0,0
478800.0,0.5,4241.0,9,0,4,9,0,3,0,0
482400.0,0.6,3956.0002,10,0,2,12,0,3,0,0
486000.0,0.5,6280.00015,12,0,2,6,0,3,0,5
489600.0,0.5,3009.00003,9,0,1,4,0,2,0,1
493200.0,0.4,5530.0000900000005,12,1,6,8,0,4,0,1
496800.0,0.4,4180.0,10,0,4,10,0,3,0,2
500400.0,0.4,3775.0001,10,0,5,7,0,4,0,0
504000.0,0.4,2527.0,8,0,2,11,0,2,0,1
507600.0,0.4,4415.0,7,0,8,12,0,2,0,2
511200.0,0.7,4100.0,12,0,10,12,0,1,0,0
514800.0,0.7,2492.0,12,0,4,12,0,0,0,0
518400.0,0.4,1918.0000089999999,5,0,1,9,0,1,0,1
522000.0,0.4,3037.99994,6,0,2,12,0,0,1,2
525600.0,0.5,4387.0001,5,0,5,12,3,4,0,0
529200.0,0.4,5778.0,8,0,4,12,2,3,0,5
532800.0,0.4,8354.0,10,0,4,12,1,1,7,3
536400.0,0.7,7142.0,12,0,4,12,1,8,1,0
540000.0,0.5,4542.0,7,0,3,12,0,3,0,3
543600.0,0.6,5500.0,12,0,5,12,1,3,0,1
547200.0,0.4,7215.00006,12,0,8,12,1,3,1,2
550800.0,0.8,6080.0,12,0,12,12,0,2,0,0
554400.0,0.5,3654.0,8,0,6,12,0,1,0,0
558000.0,0.5,2595.0001,5,0,4,12,0,1,0,0
561600.0,0.5,2401.00011,4,0,4,10,0,0,0,1
565200.0,0.7,3854.0,10,0,6,12,0,0,0,0
568800.0,0.6,2736.0002,10,0,2,8,0,0,0,0
572400.0,0.7,4855.0,12,0,3,12,0,4,0,0
576000.0,0.7,4339.0,12,0,4,12,0,3,0,0
579600.0,0.5,2415.00008,7,0,4,7,0,1,0,0
583200.0,0.5,3405.0,11,0,4,10,0,3,0,0
586800.0,0.9,3526.00012,12,0,6,12,0,2,0,0
590400.0,0.6,4339.0,12,0,5,12,0,5,0,0
594000.0,0.6,4793.0,12,0,5,12,4,1,0,1
597600.0,0.6,1941.0,11,0,2,11,1,0,0,0
601200.0,0.6,3003.00003,12,0,0,12,1,3,0,0
604800.0,0.6,3917.000012,7,0,3,12,0,5,0,0
608400.0,0.5,4047.00002,6,0,3,12,1,5,0,0
612000.0,0.7,2307.00004,9,0,2,12,0,0,0,0
615600.0,0.7,5334.0,12,0,3,12,0,6,0,0
619200.0,0.5,7514.0,8,0,7,12,4,5,2,1
622800.0,0.5,4228.00012,3,0,3,9,1,3,0,4
626400.0,0.5,3135.0,5,0,4,12,1,1,0,1
630000.0,0.4,5445.0,8,0,2,12,0,4,1,3
633600.0,0.4,7354.00009,11,0,6,12,0,1,4,3
637200.0,0.6,6257.0,11,0,5,12,4,0,2,1
640800.0,0.4,3890.0,12,0,5,12,0,0,0,0
644400.0,0.4,3187.00023,10,0,2,11,0,0,0,1
648000.0,0.4,2645.00008,7,0,4,12,0,0,0,0
651600.0,0.6,5238.00009,12,0,2,12,3,0,0,2
655200.0,0.4,4946.000120000001,6,0,2,12,2,1,1,3
658800.0,0.1,3867.00009,4,0,4,6,1,1,0,3
662400.0,0.5,4561.00009,12,0,3,8,0,1,0,3
666000.0,0.6,4418.0,12,0,0,8,0,6,0,1
669600.0,0.6,2980.0,12,0,0,11,0,3,0,1
