time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.0,4471.0000039999995,1,2,2,4,2,2,0,5
3600.0,0.0,4745.99991,2,1,2,6,0,4,1,4
7200.0,0.0,7132.9999800000005,2,2,2,4,1,6,3,4
10800.0,0.0,7187.0,0,4,2,4,1,3,4,5
14400.0,0.0,7248.0,1,3,5,5,4,3,3,3
18000.0,0.0,7670.00015,2,2,4,2,5,1,4,5
21600.0,0.0,6287.0,1,1,3,2,1,5,5,1
25200.0,0.0,6663.99994,1,2,4,5,1,1,5,4
28800.0,0.0,7358.00006,4,4,4,2,3,1,4,2
32400.0,0.0,7833.0,6,5,4,0,2,3,4,0
36000.0,0.0,8744.0,6,6,4,2,4,2,4,0
39600.0,0.0,10279.00035,7,5,7,5,6,1,4,1
43200.0,0.0,8222.0003,7,3,6,3,8,1,1,1
46800.0,0.0,9507.00021,8,2,4,3,7,1,3,3
50400.0,0.0,6800.00008,4,2,3,3,1,4,2,3
54000.0,0.0,8381.00006,2,2,1,2,6,4,4,2
57600.0,0.0,9512.000209999998,2,2,4,1,3,9,2,4
61200.0,0.0,14215.99979,8,11,6,1,4,7,0,8
64800.0,0.0,11093.00003,4,10,2,2,1,8,0,7
68400.0,0.0,8587.99987,4,5,1,3,1,7,2,4
72000.0,0.0,12201.0,4,7,4,3,1,3,7,5
75600.0,0.0,9343.0,1,3,3,4,2,4,5,4
79200.0,0.0,3934.0,6,1,2,4,0,2,2,1
82800.0,0.0,7044.000179999999,3,2,2,7,4,3,2,3
86400.0,0.0,5712.999884000001,3,1,4,4,3,3,2,2
90000.0,0.0,8623.99985,3,1,4,5,6,4,4,4
93600.0,0.0,8459.00003,2,1,3,8,5,6,5,2
97200.0,0.0,8011.0,3,3,2,6,5,7,2,3
100800.0,0.0,9010.0,0,2,4,5,3,7,5,4
104400.0,0.0,7615.00012,3,1,5,2,3,6,2,4
108000.0,0.0,10471.0,2,1,10,5,1,6,5,6
111600.0,0.0,6905.0,3,0,6,3,2,3,5,2
115200.0,0.0,6608.00003,2,1,7,3,2,2,5,1
118800.0,0.0,10882.0,4,3,9,3,2,6,7,1
122400.0,0.0,7333.99994,4,5,6,3,2,3,1,2
126000.0,0.0,10695.000489999999,8,4,4,1,9,1,4,2
129600.0,0.0,7283.0002,5,3,4,3,6,1,2,1
133200.0,0.0,6391.00012,4,2,2,4,4,0,1,5
136800.0,0.0,7361.00008,4,3,4,3,4,0,2,4
140400.0,0.0,7859.00012,1,6,2,2,3,4,1,4
144000.0,0.0,6999.00012,1,5,2,2,1,4,2,3
147600.0,0.0,9920.99983,3,7,2,2,2,7,2,4
151200.0,0.0,9875.0,2,5,4,1,0,5,5,4
154800.0,0.0,12003.99979,3,9,3,4,0,3,6,6
158400.0,0.0,8902.0,3,4,3,5,1,2,4,6
162000.0,0.0,8701.0,7,6,3,2,2,2,2,5
165600.0,0.0,8247.0,4,3,1,3,4,2,3,5
169200.0,0.0,8322.00027,2,2,2,2,7,2,3,3
172800.0,0.0,7411.99982,4,1,2,0,8,2,3,4
176400.0,0.0,8156.99979,3,3,3,4,3,3,3,6
180000.0,0.0,7105.0000199999995,0,2,4,5,5,4,3,3
183600.0,0.0,7437.0,1,3,3,4,5,5,2,4
187200.0,0.0,10324.0,4,3,3,4,8,6,4,4
190800.0,0.0,11521.00024,2,3,5,5,6,6,4,8
194400.0,0.0,9792.0,2,2,4,4,8,5,4,4
198000.0,0.0,11937.99985,4,5,6,3,5,5,5,5
201600.0,0.0,9131.00009,2,8,7,2,5,2,1,3
205200.0,0.0,7104.0,3,3,7,3,5,2,2,1
208800.0,0.0,7053.0,4,2,9,6,4,1,3,0
212400.0,0.0,7228.0002700000005,3,2,7,2,6,0,3,1
216000.0,0.0,7030.00017,4,2,1,7,6,2,3,1
