time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.4,2419.0,1,0,1,8,0,2,1,2
3600.0,0.4,4238.0,2,0,6,8,2,2,1,3
7200.0,0.4,3890.0,2,0,3,8,2,3,1,4
10800.0,0.4,3855.0,0,0,2,6,1,6,0,6
14400.0,0.4,5602.0,1,2,3,8,0,7,0,8
18000.0,0.4,5465.0,2,3,4,8,0,5,1,4
21600.0,0.4,5154.0,1,6,3,8,0,4,0,4
25200.0,0.4,5213.0,1,5,6,6,0,1,0,5
28800.0,0.4,5147.0,4,5,4,8,0,3,1,1
32400.0,0.4,6495.0,6,4,7,8,2,1,2,2
36000.0,0.4,4553.0,6,4,3,8,4,1,1,0
39600.0,0.4,4492.0,7,4,3,8,6,0,0,1
43200.0,0.4,4370.0,7,3,4,6,3,2,0,0
46800.0,0.4,5466.0,8,3,5,7,2,2,0,2
50400.0,0.4,6194.0,4,8,2,8,1,1,0,6
54000.0,0.4,6861.0,2,7,5,8,2,1,0,8
57600.0,0.4,7531.0,2,4,3,7,1,6,0,8
61200.0,0.4,9054.0,8,8,5,8,2,5,0,7
64800.0,0.4,6972.0,4,4,5,8,2,3,2,4
68400.0,0.4,8645.0,4,6,5,7,0,8,1,5
72000.0,0.4,7271.0,4,2,6,8,3,8,1,2
75600.0,0.4,7246.0,1,3,3,8,3,7,4,0
79200.0,0.4,7296.0,6,1,5,4,3,5,3,2
82800.0,0.4,5545.0,3,2,3,5,2,4,3,0
86400.0,0.4,5806.0,3,2,2,8,4,6,2,0
90000.0,0.4,5756.0,3,3,4,8,5,4,1,2
93600.0,0.4,9060.0,2,2,8,8,8,7,1,7
97200.0,0.4,6854.0,3,2,7,7,2,5,0,8
100800.0,0.4,6104.0,0,4,6,7,1,5,0,6
104400.0,0.4,7526.0,3,8,8,8,0,5,2,1
108000.0,0.4,5364.0,2,4,6,7,0,2,0,5
111600.0,0.4,5871.0,3,7,6,8,0,2,3,0
115200.0,0.4,3959.0,2,5,5,8,0,1,0,2
118800.0,0.4,5217.0,4,8,2,8,0,1,3,1
122400.0,0.4,4722.0,4,4,2,8,0,2,2,2
126000.0,0.4,4673.0,8,3,3,8,1,2,1,1
129600.0,0.4,4783.0,5,4,2,5,0,3,1,2
133200.0,0.4,7499.0,4,5,3,8,3,4,4,1
136800.0,0.4,5957.0,4,5,3,8,0,3,2,3
140400.0,0.4,8142.0,1,3,4,5,0,7,2,6
144000.0,0.4,8147.0,1,5,2,7,0,8,1,7
147600.0,0.4,6154.0,3,3,3,8,0,5,0,6
151200.0,0.4,7191.0,2,3,6,8,0,7,0,5
154800.0,0.4,5563.0,3,4,4,8,0,4,1,3
158400.0,0.4,6559.0,3,4,2,8,0,4,2,5
162000.0,0.4,7145.0,7,0,2,8,0,3,3,6
165600.0,0.4,3916.0,4,2,0,8,1,0,2,3
169200.0,0.4,2201.0,2,1,0,7,0,1,1,1
172800.0,0.4,4215.0,4,0,0,8,2,4,2,1
176400.0,0.4,4310.0,3,1,0,3,2,4,2,2
180000.0,0.4,6282.0,0,1,2,8,1,7,3,4
183600.0,0.4,6618.0,1,1,1,8,3,7,3,5
187200.0,0.4,7503.0,4,0,6,8,2,3,3,8
190800.0,0.4,7498.0,2,0,4,8,1,3,7,4
194400.0,0.4,4887.0,2,1,3,8,0,3,1,5
198000.0,0.4,4927.0,4,2,4,8,0,3,2,1
201600.0,0.4,7965.0,2,2,5,8,1,1,8,3
205200.0,0.4,4015.0,3,3,6,8,0,0,1,1
208800.0,0.4,5056.0,4,7,2,8,0,1,2,1
212400.0,0.4,6264.0,3,5,2,8,4,1,3,2
216000.0,0.4,6485.0,4,4,1,8,0,3,3,3
219600.0,0.4,5364.0,3,4,2,7,0,3,1,3
223200.0,0.4,3646.0,2,0,2,7,0,2,1,3
226800.0,0.4,5749.0,0,3,4,5,0,3,0,7
230400.0,0.4,5959.0,4,5,3,3,0,4,0,5
234000.0,0.4,8788.0,5,8,6,8,0,6,0,6
237600.0,0.4,5387.0,5,4,2,7,0,2,0,6
241200.0,0.4,6503.0,5,2,6,8,0,4,0,5
244800.0,0.4,6510.0,8,8,4,8,0,2,1,3
248400.0,0.4,4378.0,6,3,2,6,0,3,0,3
252000.0,0.4,7136.0,8,4,4,8,0,6,1,2
