time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.3,6579.999999999999,1,0,1,3,0,2,6,2
3600.0,0.3,7291.5,2,2,4,8,0,2,3,3
7200.0,0.3,6735.500000000001,2,1,2,8,0,3,3,4
10800.0,0.3,5804.0,0,0,2,7,0,6,0,6
14400.0,0.3,8761.0,1,2,3,7,0,7,1,8
18000.0,0.3,9512.4,2,3,4,5,0,5,4,4
21600.0,0.3,8523.599999999999,1,6,3,6,0,4,2,4
25200.0,0.3,7922.6,1,5,6,4,0,1,2,5
28800.0,0.3,7605.4,4,5,4,7,0,3,2,1
32400.0,0.3,9108.7,6,4,7,8,1,1,3,2
36000.0,0.3,6994.4,6,4,3,8,2,1,3,0
39600.0,0.3,6859.400000000001,7,4,3,8,4,0,2,1
43200.0,0.3,6195.299999999999,7,3,4,6,2,2,1,0
46800.0,0.3,8982.6,8,3,5,2,4,2,3,2
50400.0,0.3,10680.400000000001,4,8,2,6,0,1,3,6
54000.0,0.3,11706.1,2,7,5,7,0,1,3,8
57600.0,0.3,10181.6,4,2,3,6,0,6,2,8
61200.0,0.3,13808.4,8,8,5,7,0,5,3,7
64800.0,0.3,10842.4,5,3,5,6,0,3,6,4
68400.0,0.3,13022.6,4,6,5,3,0,8,5,5
72000.0,0.3,11843.0,4,2,6,5,0,8,7,2
75600.0,0.3,9567.0,3,1,3,8,0,7,7,0
79200.0,0.3,7777.599999999999,6,1,5,7,0,5,3,2
82800.0,0.3,6714.200000000001,3,2,3,6,0,4,4,0
86400.0,0.3,7229.700000000001,5,0,2,8,2,6,4,0
90000.0,0.3,7843.700000000001,6,0,4,8,3,4,3,2
93600.0,0.3,12867.9,2,1,8,8,8,7,2,7
97200.0,0.3,9694.2,3,1,6,7,3,5,1,8
100800.0,0.3,8607.6,0,3,6,6,2,5,1,6
104400.0,0.3,10273.6,3,6,8,8,1,5,3,1
108000.0,0.3,7847.9,2,2,8,5,0,2,2,5
111600.0,0.3,9069.9,3,6,7,6,0,2,5,0
115200.0,0.3,6543.3,2,4,6,6,0,1,2,2
118800.0,0.3,8919.9,4,8,2,7,0,1,4,1
122400.0,0.3,6468.4,4,4,2,8,0,2,2,2
126000.0,0.3,6333.5,8,3,3,8,1,2,1,1
129600.0,0.3,7098.6,5,4,2,3,1,3,2,2
133200.0,0.3,10246.4,4,5,3,8,2,4,5,1
136800.0,0.3,9592.199999999999,4,5,3,4,2,3,4,3
140400.0,0.3,11376.4,1,3,4,1,2,7,4,6
144000.0,0.3,11575.6,1,5,2,3,2,8,3,7
147600.0,0.3,10123.4,3,3,3,2,2,5,4,6
151200.0,0.3,11796.4,2,3,6,2,1,7,5,5
154800.0,0.3,9562.5,3,4,4,4,0,4,5,3
158400.0,0.3,11485.6,3,4,2,3,0,4,7,5
162000.0,0.3,9313.9,7,0,2,6,0,3,5,6
165600.0,0.3,5230.2,4,2,0,8,0,0,3,3
169200.0,0.3,3898.9,2,1,0,5,0,1,3,1
172800.0,0.3,5071.799999999999,4,0,0,8,2,4,2,1
176400.0,0.3,5428.199999999999,3,1,0,3,2,4,2,2
180000.0,0.3,7710.799999999999,0,1,2,8,1,7,3,4
