time_s,alpha,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,0.8,1548.0,5,0,1,8,1,0,0,0
3600.0,0.8,3322.0,7,0,4,8,5,0,0,0
7200.0,0.8,2836.0,8,0,1,8,6,0,0,0
10800.0,0.8,2349.0,5,0,0,8,8,0,0,0
14400.0,0.8,4198.0,8,0,5,8,8,0,0,0
18000.0,0.8,3773.0,8,0,3,8,8,0,0,0
21600.0,0.8,3546.0,7,0,3,8,8,0,0,0
25200.0,0.8,3016.0,6,0,2,8,8,0,0,0
28800.0,0.8,3266.0,8,0,2,8,8,0,0,0
32400.0,0.8,4600.0,8,0,8,8,8,0,0,0
36000.0,0.8,3281.0,8,0,3,8,8,0,0,0
39600.0,0.8,3764.0,8,0,5,8,8,0,0,0
43200.0,0.8,2877.0,6,0,3,8,8,0,0,0
46800.0,0.8,3739.0,8,0,5,8,8,0,0,0
50400.0,0.8,4004.0,8,0,6,8,8,0,0,0
54000.0,0.8,4744.0,8,1,8,8,8,0,0,0
57600.0,0.8,4071.0,8,6,1,8,8,0,0,0
61200.0,0.8,7078.0,8,8,8,8,8,3,0,0
64800.0,0.8,4147.0,8,7,1,8,8,0,0,0
68400.0,0.8,4804.0,8,8,4,8,8,0,0,0
72000.0,0.8,4455.0,8,3,7,8,8,0,0,0
75600.0,0.8,3395.0,8,1,4,8,8,0,0,0
79200.0,0.8,3496.0,8,2,3,8,8,0,0,0
82800.0,0.8,2391.0,5,1,1,8,7,0,0,0
86400.0,0.8,3352.0,8,0,3,8,8,0,0,0
90000.0,0.8,4058.0,8,0,6,8,8,0,0,0
93600.0,0.8,7363.0,8,3,8,8,8,0,0,8
97200.0,0.8,5052.0,8,3,4,8,8,0,0,3
100800.0,0.8,3999.0,8,4,2,8,6,0,0,1
104400.0,0.8,5448.0,7,8,3,8,8,0,0,1
108000.0,0.8,3625.0,5,8,1,8,4,0,0,0
111600.0,0.8,4284.0,5,8,1,8,7,0,0,0
115200.0,0.8,3030.0,5,7,1,8,2,0,0,0
118800.0,0.8,3634.0,7,8,1,8,3,0,0,0
