job_name,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_000794,US_East,France,4,18.0,90.0,0.2625,False
j_001463,Germany,Germany,1,7888.9,0.0,394.23040833333306,False
j_001480,Germany,Germany,1,1014.9,0.0,54.09623055555524,False
j_001114,France,France,1,1813.8,0.0,25.583388888888933,False
j_000780,US_East,France,5,3.7,90.0,0.05395833333329089,False
j_001106,France,France,1,10353.6,0.0,137.00762222222227,False
j_001815,Korea,Korea,4,47.5,0.0,4.838402777777778,False
j_001127,France,France,1,7591.4,0.0,102.06001388888882,False
j_002511,Japan,US_West,5,3.1,109.0,0.20675277777816597,False
j_001139,France,France,3,145.7,0.0,2.0195638888888485,False
j_002544,Japan,US_West,5,7.1,109.0,0.47353055555594376,False
j_001131,France,Germany,2,394.5,12.0,20.354652777777765,False
j_001806,Korea,Korea,4,24.4,0.0,2.487327777777175,False
j_001833,Korea,US_West,1,7884.0,134.0,592.6845666666667,False
j_001126,France,France,5,5.9,0.0,0.08423888888880579,False
j_000092,US_West,US_West,4,31.5,0.0,2.176125,False
j_000055,US_West,France,5,12.9,146.0,0.1895583333332478,False
j_002516,Japan,France,5,8.7,228.0,0.1278416666666239,False
j_001124,France,France,1,4561.9,0.0,61.40505277777772,False
j_002514,Japan,France,5,2.8,228.0,0.04114444444448721,False
j_000770,US_East,France,2,753.6,90.0,10.299333333333408,False
j_001816,Korea,France,1,3069.5,238.0,40.681652777777764,False
j_002512,Japan,France,5,3.4,228.0,0.047222222222141376,False
j_001801,Korea,US_West,4,65.8,134.0,4.867372222222437,False
j_001125,France,France,1,7692.3,0.0,94.7782388888889,False
j_002520,Japan,US_West,5,3.4,109.0,0.251505555555125,False
j_001832,Korea,US_West,5,12.0,134.0,0.8876666666666667,False
j_000798,US_East,Germany,1,1321.9,95.0,63.46364444444418,False
j_002527,Japan,US_West,5,6.4,109.0,0.47342222222179164,False
j_001132,France,France,5,9.0,0.0,0.12,False
j_000759,US_East,France,2,796.1,90.0,10.338986111111188,False
j_002533,Japan,US_West,5,5.8,109.0,0.4379000000002197,False
j_001498,Germany,Germany,1,5969.4,0.0,304.266983333333,False
j_001842,Korea,France,5,5.8,238.0,0.07910555555559526,False
j_002503,Japan,US_West,5,3.4,109.0,0.25603888888845056,False
