time_s,emission_g_per_h,run_US_West,run_US_Central,run_US_East,run_France,run_Germany,run_Korea,run_India,run_Japan
0.0,785.1999999999999,0,0,0,2,0,0,1,0
900.0,748.4,0,0,0,1,0,0,1,0
1800.0,2459.3999999999996,1,0,0,2,0,2,2,0
2700.0,4242.9,1,0,1,1,0,1,4,1
3600.0,2573.6,1,0,1,3,0,0,2,1
4500.0,3678.3,2,0,1,5,0,2,2,1
5400.0,3961.7000000000003,2,0,2,4,0,2,2,1
6300.0,4821.7,4,0,3,5,0,3,2,0
7200.0,4273.7,3,0,1,6,0,3,2,1
8100.0,4812.200000000001,2,0,1,7,0,4,3,0
9000.0,2448.0,1,0,0,8,0,3,1,0
9900.0,2871.5,1,0,1,6,0,5,0,0
10800.0,2740.8,0,0,2,5,0,5,0,0
11700.0,2233.7,0,0,2,3,0,4,0,0
12600.0,3351.3999999999996,0,0,2,4,0,7,0,0
13500.0,2558.3,0,0,1,4,0,6,0,0
14400.0,3432.7000000000003,0,0,1,4,0,8,0,0
15300.0,2490.7999999999997,0,0,1,4,0,3,0,2
16200.0,3610.0,1,0,3,4,0,3,1,1
17100.0,3388.1000000000004,3,0,1,6,0,5,0,0
18000.0,3052.1,2,0,4,3,0,3,0,0
18900.0,4731.1,3,0,4,3,0,5,1,0
19800.0,2947.8,3,0,4,4,0,2,0,0
20700.0,4432.099999999999,3,0,3,4,0,2,3,0
21600.0,3309.9,4,0,3,5,0,3,0,0
22500.0,3878.2,3,0,3,1,0,4,1,0
23400.0,4195.0,4,0,3,1,0,4,1,0
24300.0,3038.1000000000004,2,0,3,2,0,4,0,0
25200.0,3535.0,1,0,5,3,0,3,1,0
26100.0,4042.5,4,0,5,2,0,4,0,0
27000.0,3123.7,2,0,4,2,0,2,1,0
27900.0,3682.6,4,0,3,3,0,4,0,0
28800.0,2961.9,4,0,3,5,0,2,0,0
29700.0,4270.1,4,0,4,4,0,3,1,0
30600.0,3304.1,6,0,4,5,0,1,0,0
31500.0,4189.3,7,0,4,4,0,1,1,0
32400.0,4088.2000000000003,6,0,6,4,0,0,1,0
33300.0,3874.2999999999997,6,0,3,4,0,3,0,0
34200.0,3548.5,7,0,2,2,0,1,1,0
35100.0,3513.6000000000004,7,0,3,3,0,0,1,0
36000.0,3662.0,6,0,3,3,0,1,1,0
36900.0,2962.3,3,0,3,4,0,1,1,0
37800.0,2492.2,5,0,2,3,0,1,0,0
38700.0,3069.3999999999996,7,0,2,3,0,0,1,0
39600.0,3331.7999999999997,7,0,1,5,0,0,1,1
40500.0,3757.5,8,1,2,5,0,0,1,0
41400.0,4645.299999999999,8,1,3,4,0,0,2,0
42300.0,3517.2999999999997,6,0,4,7,0,0,1,0
43200.0,3540.2,6,0,4,5,0,0,1,0
44100.0,4464.8,8,0,3,3,0,2,1,0
45000.0,4050.4000000000005,8,0,3,3,0,1,1,0
45900.0,3989.0999999999995,7,0,4,3,0,1,1,0
46800.0,4651.6,7,0,4,2,0,1,2,0
47700.0,5566.9,7,0,4,5,0,1,3,0
48600.0,5831.7,8,0,3,2,0,2,3,0
49500.0,4014.9000000000005,6,0,3,3,0,1,1,1
50400.0,5049.200000000001,7,0,2,2,0,2,2,1
51300.0,6626.5,8,0,2,2,0,3,2,3
52200.0,6704.2,6,0,3,4,0,2,3,3
53100.0,6250.0,8,0,3,4,0,2,3,1
54000.0,4970.599999999999,7,0,2,4,0,2,2,1
54900.0,5327.9,7,0,2,5,0,3,2,1
55800.0,5395.0,6,0,1,3,0,5,2,1
56700.0,5919.0,5,0,3,4,0,7,1,1
57600.0,5364.4,3,0,1,4,0,8,1,1
58500.0,5823.900000000001,3,0,2,3,0,7,2,1
59400.0,5000.6,5,0,1,5,0,6,1,1
60300.0,6097.900000000001,2,0,2,4,0,8,1,2
61200.0,8173.400000000001,6,0,3,4,0,8,2,3
62100.0,6375.8,6,0,2,6,0,7,1,2
63000.0,5022.400000000001,8,0,1,4,0,4,1,2
63900.0,4198.2,8,0,3,4,0,3,1,0
64800.0,4816.2,5,0,2,6,0,3,3,0
65700.0,4760.599999999999,6,0,2,4,0,3,3,0
66600.0,5252.299999999999,2,0,2,3,0,4,4,0
67500.0,6533.599999999999,2,0,4,2,0,6,4,0
68400.0,5614.799999999999,3,0,3,3,0,6,3,0
69300.0,6106.799999999999,2,0,3,1,0,8,3,0
70200.0,6481.4,5,0,2,1,0,7,4,0
71100.0,8639.6,4,0,3,1,0,8,4,3
72000.0,8134.099999999999,2,0,5,1,0,6,4,3
72900.0,7526.9,2,0,4,2,0,5,4,3
73800.0,8249.8,4,0,5,3,0,5,5,2
74700.0,5317.5,4,0,2,3,0,4,3,1
75600.0,7493.9,1,0,3,4,0,6,5,1
76500.0,6145.3,2,0,3,4,0,4,4,1
77400.0,5501.299999999999,2,0,3,4,0,4,3,1
78300.0,5105.299999999999,2,0,2,4,0,4,3,1
79200.0,5631.7,5,0,3,4,0,5,3,0
80100.0,4803.0,3,0,1,4,0,5,3,0
81000.0,5100.3,2,0,3,6,0,4,3,0
