job_name,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_000540,US_Central,France,1,1111.3,113.0,9.013608333333242,False
j_000881,US_East,France,1,2896.7,90.0,21.62678888888897,False
j_002268,India,France,5,6.3,137.0,0.0516249999999046,False
j_000170,US_West,France,5,14.3,146.0,0.11559166666657257,False
j_002299,India,US_West,3,115.1,225.0,8.354341666664977,False
j_001237,France,US_West,1,12735.2,146.0,848.1671000000006,False
j_002286,India,US_West,5,6.1,225.0,0.4427583333316434,False
j_001593,Germany,US_West,5,1.1,153.0,0.07984166666497672,False
j_001594,Germany,US_West,5,3.8,153.0,0.2758166666658217,False
j_000165,US_West,US_West,5,5.8,0.0,0.4209833333324884,False
j_000180,US_West,France,2,1863.6,146.0,13.15398333333317,False
j_001920,Korea,France,3,163.9,238.0,1.1564055555557198,False
j_002296,India,US_West,4,21.3,225.0,1.4957333333325158,False
j_002293,India,US_West,4,62.0,225.0,4.185,False
j_001590,Germany,US_West,1,21600.0,153.0,1418.6880833333332,False
j_000851,US_East,US_West,1,2273.9,74.0,151.03241666666815,False
j_001935,Korea,France,1,4635.2,238.0,34.18037500000009,False
j_001554,Germany,France,2,5832.5,12.0,44.605508333333376,False
j_001224,France,France,5,17.1,0.0,0.12682499999982733,False
j_001902,Korea,US_West,1,3249.4,134.0,210.8400250000016,False
j_000197,US_West,France,4,22.5,146.0,0.165,False
j_001587,Germany,France,4,51.0,12.0,0.37399999999999994,False
j_000163,US_West,US_West,1,1762.3,0.0,113.01925555555479,False
j_001201,France,US_West,4,28.3,146.0,1.8316388888881354,False
j_000507,US_Central,France,1,4454.8,113.0,34.40311666666653,False
j_000158,US_West,France,1,21600.0,146.0,200.55849722222226,False
j_000531,US_Central,France,1,4989.2,113.0,40.20652777777786,False
j_002271,India,US_West,5,7.5,225.0,0.4766666666666667,False
j_001231,France,US_West,5,6.5,146.0,0.41311111111111115,False
j_001561,Germany,France,5,5.6,12.0,0.04122222222205083,False
j_002260,India,France,1,21600.0,137.0,201.25539444444445,False
j_001216,France,US_West,1,1610.3,146.0,108.23470277777703,False
j_001559,Germany,France,5,7.0,12.0,0.05308333333333333,False
j_001586,Germany,US_West,5,5.0,153.0,0.33791666666666664,False
j_002279,India,US_West,5,6.6,225.0,0.4460499999984265,False
j_000194,US_West,France,1,2190.8,146.0,18.59346111111097,False
j_000514,US_Central,US_West,1,19646.6,39.0,1263.2753305555545,False
j_000864,US_East,US_West,5,13.7,74.0,0.9422555555563562,False
j_000504,US_Central,France,1,4095.9,113.0,37.74081111111132,False
j_000520,US_Central,US_West,5,6.0,39.0,0.38,False
j_001552,Germany,US_West,5,14.3,153.0,0.9056666666659293,False
j_001245,France,US_West,4,60.8,146.0,3.8506666666659295,False
j_002277,India,US_West,4,52.5,225.0,3.325,False
j_001584,Germany,US_East,3,67.4,95.0,5.1654611111128945,False
j_001596,Germany,US_East,3,50.1,95.0,3.8396083333315487,False
j_002294,India,France,3,94.6,137.0,0.8487722222220133,False
j_001215,France,US_West,5,6.9,146.0,0.44485833333483443,False
j_001912,Korea,US_West,5,15.2,134.0,0.9799777777785282,False
j_000519,US_Central,US_West,5,6.1,39.0,0.39328055555405445,False
j_002609,Japan,US_West,5,3.4,109.0,0.21920555555705665,False
j_001233,France,France,5,4.2,0.0,0.037683333333437784,False
j_001214,France,France,1,19734.1,0.0,190.54654722222188,False
j_001560,Germany,France,5,8.3,12.0,0.07792777777766847,False
j_001591,Germany,France,4,125.0,12.0,1.1736111111111112,False
j_000192,US_West,France,1,8299.3,146.0,83.39233888888872,False
j_001205,France,France,5,3.7,0.0,0.03381388888899528,False
j_000530,US_Central,France,1,4015.3,113.0,40.06667222222212,False
j_001941,Korea,US_West,5,6.9,134.0,0.4552083333348694,False
j_001901,Korea,France,5,2.3,238.0,0.021722222222112276,False
j_000541,US_Central,US_West,5,2.7,39.0,0.17385000000074957,False
j_002638,Japan,US_West,2,879.7,109.0,56.310350000000746,False
j_001248,France,France,1,8891.9,0.0,88.993977777778,False
j_000527,US_Central,France,4,34.8,113.0,0.3755638888887641,False
j_002613,Japan,US_West,1,6588.9,109.0,430.754480555557,False
j_001246,France,US_West,1,4389.8,146.0,284.13589999999914,False
j_001943,Korea,US_West,2,564.9,134.0,36.60312500000155,False
j_002610,Japan,US_East,1,8266.6,172.0,664.3135111111094,False
j_000545,US_Central,US_West,5,7.6,39.0,0.4931555555540448,False
j_001207,France,US_West,4,92.8,146.0,6.021688888888134,False
j_000874,US_East,US_East,5,6.4,0.0,0.5025777777796061,False
j_000172,US_West,France,1,5553.2,146.0,56.65987777777789,False
j_000524,US_Central,US_East,4,53.5,38.0,4.258636111111056,False
j_000151,US_West,France,1,21600.0,146.0,236.0377972222221,False
j_001579,Germany,US_West,3,150.2,153.0,9.22895555555627,False
j_001247,France,US_West,1,8719.0,146.0,571.4276527777778,False
j_000161,US_West,France,1,14009.0,146.0,135.29189444444435,False
j_000182,US_West,US_West,4,91.2,0.0,6.024266666667436,False
